,,,"Newell County, Municipal district [Census subdivision], Alberta",,,,,,"Alberta [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Language spoken most often at home","            Harari",,       0,,       0,,       0,,     165,,      80,,      85,
"Language spoken most often at home","            Hebrew",,       0,,       0,,       0,,     460,,     235,,     225,
"Language spoken most often at home","            Maltese",,       0,,       0,,       0,,      15,,      10,,      10,
"Language spoken most often at home","            Tigrigna",,       0,,       0,,       0,,    3955,,    2095,,    1860,
"Language spoken most often at home","            Semitic languages; n.i.e.",,       0,,       0,,       0,,     210,,     110,,     100,
"Language spoken most often at home","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      20,
"Language spoken most often at home","        Austro-Asiatic languages",,       0,,       0,,       0,,   16355,,    7635,,    8715,
"Language spoken most often at home","          Khmer (Cambodian)",,       0,,       0,,       0,,     960,,     460,,     500,
"Language spoken most often at home","          Vietnamese",,       0,,       0,,       0,,   15380,,    7175,,    8205,
"Language spoken most often at home","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      15,,       0,,      10,
"Language spoken most often at home","        Austronesian languages",,       0,,       0,,       0,,   60860,,   28765,,   32100,
"Language spoken most often at home","          Bikol",,       0,,       0,,       0,,      70,,      40,,      35,
"Language spoken most often at home","          Cebuano",,       0,,       0,,       0,,    2110,,    1015,,    1090,
"Language spoken most often at home","          Fijian",,       0,,       0,,       0,,      45,,      25,,      20,
"Language spoken most often at home","          Hiligaynon",,       0,,       0,,       0,,     470,,     215,,     255,
"Language spoken most often at home","          Ilocano",,       0,,       0,,       0,,    1975,,     935,,    1035,
"Language spoken most often at home","          Malagasy",,       0,,       0,,       0,,      20,,      10,,      10,
"Language spoken most often at home","          Malay",,       0,,       0,,       0,,     405,,     205,,     195,
"Language spoken most often at home","          Pampangan (Kapampangan; Pampango)",,       0,,       0,,       0,,     220,,     110,,     110,
"Language spoken most often at home","          Pangasinan",,       0,,       0,,       0,,      45,,      20,,      30,
"Language spoken most often at home","          Tagalog (Pilipino; Filipino)",,       0,,       0,,       0,,   55105,,   26005,,   29100,
"Language spoken most often at home","          Waray-Waray",,       0,,       0,,       0,,     125,,      60,,      60,
"Language spoken most often at home","          Austronesian languages; n.i.e.",,       0,,       0,,       0,,     280,,     120,,     155,
"Language spoken most often at home","        Creole languages",,       0,,       0,,       0,,     970,,     495,,     475,
"Language spoken most often at home","          Haitian Creole",,       0,,       0,,       0,,      50,,      25,,      25,
"Language spoken most often at home","          Creole; n.o.s.",,       0,,       0,,       0,,     655,,     345,,     310,
"Language spoken most often at home","          Creole languages; n.i.e.",,       0,,       0,,       0,,     270,,     125,,     140,
"Language spoken most often at home","        Dravidian languages",,       0,,       0,,       0,,    8460,,    4335,,    4125,
"Language spoken most often at home","          Kannada",,       0,,       0,,       0,,     210,,     105,,     105,
"Language spoken most often at home","          Malayalam",,       0,,       0,,       0,,    4060,,    2070,,    1990,
"Language spoken most often at home","          Tamil",,       0,,       0,,       0,,    2915,,    1515,,    1395,
"Language spoken most often at home","          Telugu",,       0,,       0,,       0,,    1245,,     635,,     615,
"Language spoken most often at home","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,      30,,      10,,      15,
"Language spoken most often at home","        Hmong-Mien languages",,       0,,       0,,       0,,      70,,      35,,      35,
"Language spoken most often at home","        Indo-European languages",,    1190,,     590,,     600,,  230270,,  115280,,  114995,
"Language spoken most often at home","          Albanian",,       0,,       0,,       0,,    1060,,     570,,     485,
"Language spoken most often at home","          Armenian",,       0,,       0,,       0,,     215,,     115,,     105,
"Language spoken most often at home","          Balto-Slavic languages",,       0,,       0,,       0,,   30220,,   14820,,   15400,
"Language spoken most often at home","            Baltic languages",,       0,,       0,,       0,,     410,,     210,,     200,
"Language spoken most often at home","              Latvian",,       0,,       0,,       0,,     165,,      85,,      80,
"Language spoken most often at home","              Lithuanian",,       0,,       0,,       0,,     250,,     125,,     120,
"Language spoken most often at home","            Slavic languages",,       5,,       0,,       5,,   29815,,   14610,,   15205,
"Language spoken most often at home","              Belarusan",,       0,,       0,,       0,,      15,,      10,,       5,
"Language spoken most often at home","              Bosnian",,       0,,       0,,       0,,     785,,     400,,     385,
"Language spoken most often at home","              Bulgarian",,       0,,       0,,       0,,     825,,     415,,     405,
"Language spoken most often at home","              Croatian",,       0,,       0,,       0,,    1800,,     905,,     895,
"Language spoken most often at home","              Czech",,       0,,       0,,       0,,     875,,     440,,     430,
"Language spoken most often at home","              Macedonian",,       0,,       0,,       0,,     175,,      90,,      85,
"Language spoken most often at home","              Polish",,       0,,       0,,       0,,    7705,,    3675,,    4030,
"Language spoken most often at home","              Russian",,       0,,       0,,       5,,   10145,,    4965,,    5175,
"Language spoken most often at home","              Serbian",,       0,,       0,,       0,,    2100,,    1045,,    1055,
"Language spoken most often at home","              Serbo-Croatian",,       0,,       0,,       0,,     315,,     160,,     155,
"Language spoken most often at home","              Slovak",,       0,,       0,,       0,,     710,,     345,,     365,
"Language spoken most often at home","              Slovene (Slovenian)",,       0,,       0,,       0,,     150,,      70,,      75,
"Language spoken most often at home","              Ukrainian",,       0,,       0,,       0,,    4180,,    2060,,    2110,
"Language spoken most often at home","              Slavic languages; n.i.e.",,       0,,       0,,       0,,      55,,      30,,      25,
"Language spoken most often at home","          Celtic languages",,       0,,       0,,       0,,      40,,      25,,      15,
"Language spoken most often at home","            Scottish Gaelic",,       0,,       0,,       0,,      15,,      15,,       5,
"Language spoken most often at home","            Welsh",,       0,,       0,,       0,,      15,,       5,,       5,
"Language spoken most often at home","            Celtic languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       0,
"Language spoken most often at home","          Germanic languages",,    1160,,     580,,     580,,   40915,,   20280,,   20625,
"Language spoken most often at home","            Afrikaans",,      10,,      10,,       5,,    1705,,     835,,     875,
"Language spoken most often at home","            Danish",,       0,,       0,,       0,,     150,,      75,,      75,
"Language spoken most often at home","            Dutch",,      10,,      10,,       5,,    1980,,     985,,    1000,
"Language spoken most often at home","            Frisian",,       0,,       0,,       0,,      60,,      30,,      30,
"Language spoken most often at home","            German",,    1120,,     555,,     565,,   36295,,   18010,,   18290,
"Language spoken most often at home","            Icelandic",,       0,,       0,,       0,,      30,,      15,,      15,
"Language spoken most often at home","            Norwegian",,       0,,       0,,       0,,      60,,      20,,      35,
"Language spoken most often at home","            Swedish",,       0,,       0,,       0,,     145,,      65,,      80,
"Language spoken most often at home","            Vlaams (Flemish)",,       0,,       0,,       0,,      60,,      30,,      25,
"Language spoken most often at home","            Yiddish",,       0,,       0,,       0,,      15,,       5,,       5,
"Language spoken most often at home","            Germanic languages; n.i.e.",,      10,,       5,,      10,,     425,,     215,,     210,
"Language spoken most often at home","          Greek",,       0,,       0,,       0,,    1015,,     490,,     525,
"Language spoken most often at home","          Indo-Iranian languages",,       5,,       5,,       0,,  111975,,   56535,,   55445,
"Language spoken most often at home","            Indo-Aryan languages",,       5,,       5,,       5,,   98610,,   49790,,   48815,
"Language spoken most often at home","              Bengali",,       0,,       0,,       0,,    4530,,    2300,,    2225,
"Language spoken most often at home","              Gujarati",,       0,,       0,,       0,,    8025,,    4085,,    3935,
"Language spoken most often at home","              Hindi",,       0,,       0,,       0,,    9945,,    5115,,    4825,
"Language spoken most often at home","              Kashmiri",,       0,,       0,,       0,,      50,,      20,,      25,
"Language spoken most often at home","              Konkani",,       0,,       0,,       0,,      75,,      40,,      40,
"Language spoken most often at home","              Marathi",,       0,,       0,,       0,,     845,,     440,,     405,
"Language spoken most often at home","              Nepali",,       0,,       0,,       0,,    3710,,    1905,,    1805,
"Language spoken most often at home","              Oriya (Odia)",,       0,,       0,,       0,,      95,,      50,,      45,
"Language spoken most often at home","              Punjabi (Panjabi)",,       0,,       0,,       0,,   51010,,   25720,,   25295,
"Language spoken most often at home","              Sindhi",,       0,,       0,,       0,,    1240,,     575,,     665,
"Language spoken most often at home","              Sinhala (Sinhalese)",,       0,,       0,,       0,,    1480,,     750,,     730,
"Language spoken most often at home","              Urdu",,       5,,       5,,       5,,   17600,,    8795,,    8810,
"Language spoken most often at home","            Iranian languages",,       0,,       0,,       0,,   12720,,    6415,,    6305,
"Language spoken most often at home","              Kurdish",,       0,,       0,,       0,,     850,,     440,,     410,
"Language spoken most often at home","              Pashto",,       0,,       0,,       0,,    1640,,     845,,     795,
"Language spoken most often at home","              Persian (Farsi)",,       0,,       0,,       0,,   10230,,    5135,,    5100,
"Language spoken most often at home","            Indo-Iranian languages; n.i.e.",,       0,,       0,,       0,,     650,,     325,,     325,
"Language spoken most often at home","          Italic (Romance) languages",,      25,,      10,,      10,,   44830,,   22445,,   22385,
"Language spoken most often at home","            Catalan",,       0,,       0,,       0,,      35,,      10,,      20,
"Language spoken most often at home","            Italian",,       0,,       0,,       0,,    2840,,    1275,,    1560,
"Language spoken most often at home","            Portuguese",,       0,,       0,,       0,,    3905,,    1875,,    2030,
"Language spoken most often at home","            Romanian",,       0,,       0,,       0,,    4135,,    2115,,    2020,
"Language spoken most often at home","            Spanish",,      25,,      10,,      15,,   33910,,   17160,,   16755,
"Language spoken most often at home","            Italic (Romance) languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Language spoken most often at home","        Japanese",,       0,,       0,,       0,,    2245,,     945,,    1300,
"Language spoken most often at home","        Kartvelian languages",,       0,,       0,,       0,,     160,,      85,,      70,
"Language spoken most often at home","          Georgian",,       0,,       0,,       0,,     160,,      85,,      70,
"Language spoken most often at home","        Korean",,       0,,       0,,       5,,   12775,,    6205,,    6570,
"Language spoken most often at home","        Mongolic languages",,       0,,       0,,       0,,     335,,     160,,     175,
"Language spoken most often at home","          Mongolian",,       0,,       0,,       0,,     335,,     155,,     175,
"Language spoken most often at home","        Niger-Congo languages",,       0,,       0,,       0,,    5600,,    2725,,    2875,
"Language spoken most often at home","          Akan (Twi)",,       0,,       0,,       0,,     845,,     415,,     430,
"Language spoken most often at home","          Bamanankan",,       0,,       0,,       0,,      10,,      10,,       0,
"Language spoken most often at home","          Edo",,       0,,       0,,       0,,      70,,      35,,      35,
"Language spoken most often at home","          Ewe",,       0,,       0,,       0,,      80,,      45,,      35,
"Language spoken most often at home","          Fulah (Pular; Pulaar; Fulfulde)",,       0,,       0,,       0,,     105,,      55,,      45,
"Language spoken most often at home","          Ga",,       0,,       0,,       0,,      40,,      20,,      20,
"Language spoken most often at home","          Ganda",,       0,,       0,,       0,,      95,,      50,,      50,
"Language spoken most often at home","          Igbo",,       0,,       0,,       0,,     265,,     125,,     145,
"Language spoken most often at home","          Lingala",,       0,,       0,,       0,,      85,,      35,,      45,
"Language spoken most often at home","          Rundi (Kirundi)",,       0,,       0,,       0,,     280,,     135,,     145,
"Language spoken most often at home","          Kinyarwanda (Rwanda)",,       0,,       0,,       0,,     350,,     175,,     170,
"Language spoken most often at home","          Shona",,       0,,       0,,       0,,     410,,     190,,     225,
"Language spoken most often at home","          Swahili",,       0,,       0,,       0,,    1090,,     530,,     565,
"Language spoken most often at home","          Wolof",,       0,,       0,,       0,,     170,,      95,,      75,
"Language spoken most often at home","          Yoruba",,       0,,       0,,       0,,     690,,     340,,     350,
"Language spoken most often at home","          Niger-Congo languages; n.i.e.",,       0,,       0,,       0,,    1015,,     485,,     535,
"Language spoken most often at home","        Nilo-Saharan languages",,       0,,       0,,       0,,    1525,,     765,,     755,
"Language spoken most often at home","          Dinka",,       0,,       0,,       0,,     800,,     420,,     380,
"Language spoken most often at home","          Nilo-Saharan languages; n.i.e.",,       0,,       0,,       0,,     725,,     350,,     375,
"Language spoken most often at home","        Sign languages",,       5,,       5,,       0,,    1095,,     630,,     465,
"Language spoken most often at home","          American Sign Language",,       0,,       0,,       0,,     325,,     170,,     155,
"Language spoken most often at home","          Quebec Sign Language",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Sign languages; n.i.e",,       0,,       5,,       0,,     765,,     455,,     310,
"Language spoken most often at home","        Sino-Tibetan languages",,       0,,       0,,       0,,   82380,,   39230,,   43155,
"Language spoken most often at home","          Chinese languages",,       5,,       5,,       5,,   80880,,   38455,,   42420,
"Language spoken most often at home","            Cantonese",,       0,,       0,,       0,,   38275,,   17810,,   20460,
"Language spoken most often at home","            Hakka",,       0,,       0,,       0,,     315,,     135,,     185,
"Language spoken most often at home","            Mandarin",,       5,,       0,,       0,,   37125,,   18030,,   19095,
"Language spoken most often at home","            Min Dong",,       0,,       0,,       0,,      20,,       5,,      10,
"Language spoken most often at home","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,       0,,       0,,       0,,    1245,,     540,,     705,
"Language spoken most often at home","            Wu (Shanghainese)",,       0,,       0,,       0,,     340,,     175,,     165,
"Language spoken most often at home","            Chinese; n.o.s.",,       0,,       0,,       0,,    3550,,    1760,,    1785,
"Language spoken most often at home","            Chinese languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Language spoken most often at home","          Tibeto-Burman languages",,       0,,       0,,       0,,    1500,,     770,,     730,
"Language spoken most often at home","            Burmese",,       0,,       0,,       0,,     280,,     145,,     130,
"Language spoken most often at home","            Karenic languages",,       0,,       0,,       0,,     665,,     340,,     320,
"Language spoken most often at home","            Tibetan",,       0,,       0,,       0,,     420,,     220,,     200,
"Language spoken most often at home","            Tibeto-Burman languages; n.i.e.",,       0,,       0,,       0,,     140,,      65,,      75,
"Language spoken most often at home","        Tai-Kadai languages",,       0,,       0,,       0,,    1130,,     505,,     625,
"Language spoken most often at home","          Lao",,       0,,       0,,       0,,     465,,     215,,     245,
"Language spoken most often at home","          Thai",,       0,,       0,,       0,,     655,,     285,,     370,
"Language spoken most often at home","          Tai-Kadai languages; n.i.e",,       0,,       0,,       0,,      10,,       5,,      10,
"Language spoken most often at home","        Turkic languages",,       0,,       0,,       0,,    2390,,    1270,,    1120,
"Language spoken most often at home","          Azerbaijani",,       0,,       0,,       0,,     155,,      90,,      75,
"Language spoken most often at home","          Turkish",,       0,,       0,,       0,,    1945,,    1030,,     915,
"Language spoken most often at home","          Uyghur",,       0,,       0,,       0,,      80,,      45,,      40,
"Language spoken most often at home","          Uzbek",,       0,,       0,,       0,,     135,,      70,,      65,
"Language spoken most often at home","          Turkic languages; n.i.e.",,       0,,       0,,       0,,      70,,      35,,      25,
"Language spoken most often at home","        Uralic languages",,       0,,       0,,       0,,    2130,,    1040,,    1085,
"Language spoken most often at home","          Estonian",,       0,,       0,,       0,,      25,,      10,,      15,
"Language spoken most often at home","          Finnish",,       0,,       0,,       0,,     105,,      50,,      50,
"Language spoken most often at home","          Hungarian",,       0,,       0,,       0,,    1995,,     980,,    1015,
"Language spoken most often at home","          Uralic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Other languages; n.i.e.",,       0,,       0,,       0,,     240,,     140,,      95,
"Language spoken most often at home","  Multiple responses",,     180,,      95,,      90,,  189040,,   92280,,   96760,
"Language spoken most often at home","    English and French",,       5,,       5,,       0,,    6885,,    3410,,    3475,
"Language spoken most often at home","    English and non-official language",,     175,,      95,,      90,,  178070,,   86895,,   91170,
"Language spoken most often at home","    French and non-official language",,       0,,       0,,       0,,    1125,,     540,,     580,
"Language spoken most often at home","    English; French and non-official language",,       0,,       5,,       0,,    2965,,    1430,,    1530,
"Other language spoken regularly at home","Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data",20,    7525,,    3890,,    3635,, 4026650,, 2020510,, 2006140,
"Other language spoken regularly at home","  None",,    6700,,    3480,,    3225,, 3492295,, 1760240,, 1732055,
"Other language spoken regularly at home","  English",,     490,,     225,,     260,,  221305,,  110655,,  110650,
"Other language spoken regularly at home","  French",,      30,,      15,,      15,,   41840,,   19470,,   22375,
"Other language spoken regularly at home","  Non-official language",,     300,,     165,,     140,,  262255,,  125640,,  136615,
"Other language spoken regularly at home","    Aboriginal",,       0,,       0,,       0,,   17430,,    8325,,    9105,
"Other language spoken regularly at home","    Non-Aboriginal",,     300,,     160,,     135,,  244825,,  117315,,  127510,
"Other language spoken regularly at home","  English and French",,       0,,       0,,       0,,    1535,,     775,,     760,
"Other language spoken regularly at home","  English and non-official language",,       5,,       0,,       0,,    4545,,    2345,,    2195,
"Other language spoken regularly at home","  French and non-official language",,       0,,       0,,       0,,    2795,,    1340,,    1455,
"Other language spoken regularly at home","  English; French and non-official language",,       0,,       0,,       0,,      85,,      50,,      40,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data",21,    5260,,    2730,,    2530,, 3206050,, 1602690,, 1603360,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 100% data",,    4995,,    2605,,    2390,, 3053470,, 1528275,, 1525190,
"Income of individuals in 2015","    Median total income in 2015 among recipients ($)",,   40727,,   52710,,   29350,,   42717,,   54891,,   33213,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 100% data",,    4995,,    2600,,    2390,, 3054135,, 1528420,, 1525715,
"Income of individuals in 2015","    Median after-tax income in 2015 among recipients ($)",,   36710,,   46317,,   27317,,   38067,,   47131,,   30478,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 100% data",,    4705,,    2530,,    2175,, 2839590,, 1458560,, 1381030,
"Income of individuals in 2015","    Median market income in 2015 among recipients ($)",,   40037,,   50603,,   27520,,   42330,,   54528,,   32099,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 100% data",,    2775,,    1160,,    1620,, 1785065,,  711210,, 1073855,
"Income of individuals in 2015","    Median government transfers in 2015 among recipients ($)",,    5045,,    5456,,    4925,,    4093,,    3834,,    4185,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 100% data",,    4175,,    2270,,    1900,, 2473665,, 1301630,, 1172030,
"Income of individuals in 2015","    Median employment income in 2015 among recipients ($)",,   34364,,   45330,,   24235,,   42679,,   54361,,   32982,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",22,    5300,,    2750,,    2550,, 3206045,, 1602810,, 1603235,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,    4995,,    2565,,    2430,, 3054555,, 1528100,, 1526455,
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   60411,,   80741,,   38957,,   62778,,   80001,,   45535,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,    4995,,    2565,,    2430,, 3055230,, 1528240,, 1526995,
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   48758,,   63075,,   33649,,   50683,,   62938,,   38417,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,    4715,,    2480,,    2240,, 2840675,, 1458210,, 1382465,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   59737,,   80068,,   37207,,   62997,,   80282,,   44766,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,    2785,,    1170,,    1615,, 1784345,,  710105,, 1074240,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    7233,,    7409,,    7105,,    7175,,    7298,,    7093,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,    4165,,    2260,,    1910,, 2473665,, 1299805,, 1173855,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   46738,,   59969,,   31074,,   59343,,   74073,,   43031,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,    5300,,    2750,,    2550,, 3206050,, 1602810,, 1603240,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24,    1885,,    1195,,     690,, 1152385,,  669770,,  482615,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   49942,,   58680,,   40380,,   64090,,   73781,,   53836,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   63327,,   73446,,   45821,,   81586,,   94822,,   63218,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     93.2,,     95.7,,     88.6,,     93.3,,     95.8,,     89.1,
"Income of individuals in 2015","    Employment income (%)",29,     68.3,,     69.3,,     66.6,,     76.5,,     78.9,,     72.3,
"Income of individuals in 2015","  Government transfers (%)",30,      6.8,,      4.4,,     11.4,,      6.7,,      4.2,,     10.9,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,    5265,,    2730,,    2530,, 3206050,, 1602690,, 1603360,
"Income of individuals in 2015","  Without total income",,     265,,     130,,     140,,  152585,,   74410,,   78170,
"Income of individuals in 2015","  With total income",,    4990,,    2600,,    2390,, 3053470,, 1528280,, 1525190,
"Income of individuals in 2015","  Percentage with total income",,     94.8,,     95.2,,     94.5,,     95.2,,     95.4,,     95.1,
"Income of individuals in 2015","    Under $10;000 (including loss)",,     655,,     220,,     435,,  389580,,  146450,,  243130,
"Income of individuals in 2015","    $10;000 to $19;999",,     635,,     225,,     410,,  385235,,  147125,,  238110,
"Income of individuals in 2015","    $20;000 to $29;999",,     595,,     215,,     380,,  364915,,  142810,,  222105,
"Income of individuals in 2015","    $30;000 to $39;999",,     540,,     270,,     280,,  305680,,  131185,,  174490,
"Income of individuals in 2015","    $40;000 to $49;999",,     555,,     300,,     260,,  286615,,  133715,,  152900,
"Income of individuals in 2015","    $50;000 to $59;999",,     395,,     230,,     160,,  247830,,  124720,,  123115,
"Income of individuals in 2015","    $60;000 to $69;999",,     315,,     205,,     110,,  205840,,  114405,,   91430,
"Income of individuals in 2015","    $70;000 to $79;999",,     270,,     185,,      80,,  165640,,   99645,,   65995,
"Income of individuals in 2015","    $80;000 to $89;999",,     205,,     145,,      60,,  132720,,   82700,,   50020,
"Income of individuals in 2015","    $90;000 to $99;999",,     195,,     120,,      75,,  114010,,   70655,,   43350,
"Income of individuals in 2015","    $100;000 and over",,     625,,     475,,     150,,  455410,,  334865,,  120550,
"Income of individuals in 2015","      $100;000 to $149;999",,     400,,     290,,     110,,  274185,,  191710,,   82475,
"Income of individuals in 2015","      $150;000 and over",,     225,,     190,,      45,,  181225,,  143150,,   38075,
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,    5265,,    2730,,    2535,, 3206050,, 1602690,, 1603365,
"Income of individuals in 2015","  Without after-tax income",,     270,,     130,,     140,,  151915,,   74270,,   77645,
"Income of individuals in 2015","  With after-tax income",,    4995,,    2605,,    2390,, 3054135,, 1528420,, 1525715,
"Income of individuals in 2015","  Percentage with after-tax income",,     94.9,,     95.4,,     94.3,,     95.3,,     95.4,,     95.2,
"Income of individuals in 2015","    Under $10;000 (including loss)",,     680,,     230,,     450,,  399005,,  149280,,  249725,
"Income of individuals in 2015","    $10;000 to $19;999",,     670,,     245,,     425,,  402780,,  154330,,  248450,
"Income of individuals in 2015","    $20;000 to $29;999",,     700,,     270,,     430,,  420955,,  166650,,  254300,
"Income of individuals in 2015","    $30;000 to $39;999",,     680,,     345,,     335,,  377590,,  169665,,  207925,
"Income of individuals in 2015","    $40;000 to $49;999",,     605,,     350,,     250,,  347960,,  172595,,  175365,
"Income of individuals in 2015","    $50;000 to $59;999",,     425,,     270,,     160,,  276970,,  153985,,  122985,
"Income of individuals in 2015","    $60;000 to $69;999",,     325,,     230,,      95,,  208265,,  127045,,   81220,
"Income of individuals in 2015","    $70;000 to $79;999",,     270,,     180,,      90,,  160580,,  100970,,   59610,
"Income of individuals in 2015","    $80;000 and over",,     645,,     485,,     165,,  460030,,  333895,,  126140,
"Income of individuals in 2015","      $80;000 to $89;999",,     190,,     130,,      60,,  121015,,   78400,,   42620,
"Income of individuals in 2015","      $90;000 to $99;999",,     125,,      85,,      35,,   82020,,   57375,,   24645,
"Income of individuals in 2015","      $100;000 and over",,     340,,     275,,      65,,  257000,,  198120,,   58875,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,    5265,,    2730,,    2535,, 3206050,, 1602690,, 1603360,
"Income of individuals in 2015","  Without employment income",,    1095,,     460,,     635,,  732385,,  301060,,  431330,
"Income of individuals in 2015","  With employment income",,    4170,,    2270,,    1900,, 2473665,, 1301630,, 1172035,
"Income of individuals in 2015","  Percentage with employment income",,     79.2,,     83.2,,     75.0,,     77.2,,     81.2,,     73.1,
"Income of individuals in 2015","    Under $5;000 (including loss)",,     555,,     245,,     310,,  273835,,  122830,,  151005,
"Income of individuals in 2015","    $5;000 to $9;999",,     325,,     135,,     190,,  164095,,   68100,,   95990,
"Income of individuals in 2015","    $10;000 to $19;999",,     530,,     220,,     315,,  274105,,  113680,,  160430,
"Income of individuals in 2015","    $20;000 to $29;999",,     470,,     185,,     285,,  235620,,   96855,,  138760,
"Income of individuals in 2015","    $30;000 to $39;999",,     410,,     205,,     200,,  227450,,  100650,,  126805,
"Income of individuals in 2015","    $40;000 to $49;999",,     420,,     250,,     180,,  219155,,  103680,,  115475,
"Income of individuals in 2015","    $50;000 to $59;999",,     290,,     170,,     125,,  195145,,   99285,,   95860,
"Income of individuals in 2015","    $60;000 to $69;999",,     225,,     165,,      55,,  163465,,   92950,,   70515,
"Income of individuals in 2015","    $70;000 to $79;999",,     195,,     145,,      50,,  135150,,   83240,,   51910,
"Income of individuals in 2015","    $80;000 and over",,     740,,     550,,     185,,  585640,,  420365,,  165280,
"Income of individuals in 2015","      $80;000 to $89;999",,     165,,     125,,      45,,  111045,,   71210,,   39835,
"Income of individuals in 2015","      $90;000 to $99;999",,     150,,      90,,      60,,   99785,,   62305,,   37480,
"Income of individuals in 2015","      $100;000 and over",,     420,,     340,,      80,,  374815,,  286855,,   87960,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,    2410,,,...,,..., 1527680,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   90880,,,...,,...,   93835,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   79168,,,...,,...,   80300,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",,     375,,,...,,...,  366080,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   46080,,,...,,...,   47948,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   40192,,,...,,...,   41502,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,    2040,,,...,,..., 1161600,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,  101376,,,...,,...,  111435,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   87603,,,...,,...,   94830,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 25% sample data",35,    2410,,,...,,..., 1527675,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,  125143,,,...,,...,  125522,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,  101003,,,...,,...,  101361,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",,     375,,,...,,...,  365000,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   60578,,,...,,...,   64341,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   50411,,,...,,...,   52116,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,    2040,,,...,,..., 1162675,,,...,,...
