,,,"Brooks, City [Census subdivision], Alberta",,,,,,"Division No.  2, Census division [Census division], Alberta"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Language spoken most often at home","          Akan (Twi)",,       0,,       0,,       0,,      15,,      10,,      10,
"Language spoken most often at home","          Bamanankan",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Edo",,       0,,       0,,       0,,       0,,       5,,       5,
"Language spoken most often at home","          Ewe",,       0,,       0,,       0,,      15,,       5,,       5,
"Language spoken most often at home","          Fulah (Pular; Pulaar; Fulfulde)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Ga",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Ganda",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Igbo",,       0,,       5,,       0,,       5,,       5,,       0,
"Language spoken most often at home","          Lingala",,       0,,       5,,       5,,       5,,       0,,       0,
"Language spoken most often at home","          Rundi (Kirundi)",,       5,,       5,,       0,,      10,,      10,,       5,
"Language spoken most often at home","          Kinyarwanda (Rwanda)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Shona",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Swahili",,      35,,      15,,      20,,      90,,      50,,      40,
"Language spoken most often at home","          Wolof",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Yoruba",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Niger-Congo languages; n.i.e.",,      25,,      10,,      10,,      45,,      25,,      20,
"Language spoken most often at home","        Nilo-Saharan languages",,     115,,      65,,      45,,     160,,      90,,      65,
"Language spoken most often at home","          Dinka",,      90,,      45,,      45,,     120,,      65,,      50,
"Language spoken most often at home","          Nilo-Saharan languages; n.i.e.",,      25,,      20,,       5,,      35,,      25,,      15,
"Language spoken most often at home","        Sign languages",,       5,,       0,,       0,,      45,,      25,,      20,
"Language spoken most often at home","          American Sign Language",,       5,,       0,,       0,,      10,,       0,,       5,
"Language spoken most often at home","          Quebec Sign Language",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Sign languages; n.i.e",,       0,,       5,,       0,,      35,,      25,,      15,
"Language spoken most often at home","        Sino-Tibetan languages",,     200,,     105,,     100,,     840,,     410,,     430,
"Language spoken most often at home","          Chinese languages",,     200,,     105,,     100,,     810,,     390,,     420,
"Language spoken most often at home","            Cantonese",,      25,,      15,,      10,,     330,,     140,,     185,
"Language spoken most often at home","            Hakka",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Mandarin",,     160,,      80,,      80,,     395,,     200,,     195,
"Language spoken most often at home","            Min Dong",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,       0,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","            Wu (Shanghainese)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Chinese; n.o.s.",,      10,,       5,,       5,,      80,,      40,,      40,
"Language spoken most often at home","            Chinese languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Tibeto-Burman languages",,       0,,       0,,       0,,      25,,      20,,       5,
"Language spoken most often at home","            Burmese",,       0,,       0,,       0,,       0,,       5,,       0,
"Language spoken most often at home","            Karenic languages",,       0,,       0,,       0,,      25,,      15,,      10,
"Language spoken most often at home","            Tibetan",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","            Tibeto-Burman languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Tai-Kadai languages",,      15,,       5,,      10,,      35,,      15,,      20,
"Language spoken most often at home","          Lao",,       5,,       5,,       5,,      15,,      10,,       5,
"Language spoken most often at home","          Thai",,      10,,       5,,       5,,      20,,       5,,      15,
"Language spoken most often at home","          Tai-Kadai languages; n.i.e",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Turkic languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Azerbaijani",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Turkish",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Uyghur",,       0,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","          Uzbek",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Turkic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Uralic languages",,       5,,       0,,       0,,      45,,      20,,      25,
"Language spoken most often at home","          Estonian",,       0,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","          Finnish",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","          Hungarian",,       0,,       5,,       0,,      35,,      20,,      25,
"Language spoken most often at home","          Uralic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Other languages; n.i.e.",,       0,,       0,,       0,,      20,,      10,,       5,
"Language spoken most often at home","  Multiple responses",,    1060,,     565,,     490,,    4680,,    2320,,    2360,
"Language spoken most often at home","    English and French",,      30,,      20,,      15,,     155,,      85,,      70,
"Language spoken most often at home","    English and non-official language",,     985,,     525,,     460,,    4430,,    2195,,    2235,
"Language spoken most often at home","    French and non-official language",,      15,,       5,,       5,,      30,,      15,,      15,
"Language spoken most often at home","    English; French and non-official language",,      30,,      20,,      10,,      65,,      30,,      35,
"Other language spoken regularly at home","Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data",20,   14340,,    7430,,    6905,,  167825,,   83975,,   83850,
"Other language spoken regularly at home","  None",,   12265,,    6320,,    5945,,  150955,,   75540,,   75410,
"Other language spoken regularly at home","  English",,    1120,,     610,,     510,,    7955,,    4040,,    3915,
"Other language spoken regularly at home","  French",,      85,,      40,,      40,,    1145,,     515,,     625,
"Other language spoken regularly at home","  Non-official language",,     810,,     425,,     385,,    7545,,    3750,,    3795,
"Other language spoken regularly at home","    Aboriginal",,      10,,       0,,       5,,     410,,     185,,     220,
"Other language spoken regularly at home","    Non-Aboriginal",,     805,,     425,,     380,,    7140,,    3565,,    3570,
"Other language spoken regularly at home","  English and French",,      15,,      15,,       5,,      50,,      25,,      25,
"Other language spoken regularly at home","  English and non-official language",,      30,,      20,,      10,,      90,,      55,,      35,
"Other language spoken regularly at home","  French and non-official language",,      10,,       5,,       5,,      90,,      50,,      40,
"Other language spoken regularly at home","  English; French and non-official language",,       0,,       0,,       0,,       0,,       0,,       0,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data",21,   10710,,    5600,,    5105,,  128390,,   63980,,   64410,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 100% data",,   10070,,    5285,,    4790,,  122695,,   61230,,   61465,
"Income of individuals in 2015","    Median total income in 2015 among recipients ($)",,   41358,,   46342,,   32296,,   37195,,   46469,,   29083,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 100% data",,   10070,,    5285,,    4790,,  122715,,   61235,,   61480,
"Income of individuals in 2015","    Median after-tax income in 2015 among recipients ($)",,   36654,,   41095,,   29705,,   33810,,   41067,,   27227,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 100% data",,    9345,,    5065,,    4275,,  112955,,   58120,,   54835,
"Income of individuals in 2015","    Median market income in 2015 among recipients ($)",,   40633,,   45672,,   29688,,   35952,,   45268,,   26918,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 100% data",,    6215,,    2610,,    3605,,   77845,,   32280,,   45570,
"Income of individuals in 2015","    Median government transfers in 2015 among recipients ($)",,    4618,,    3248,,    5278,,    5629,,    4702,,    5995,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 100% data",,    8530,,    4710,,    3820,,   96420,,   50880,,   45540,
"Income of individuals in 2015","    Median employment income in 2015 among recipients ($)",,   40633,,   45053,,   29911,,   35990,,   44865,,   27578,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",22,   10710,,    5605,,    5105,,  128390,,   63980,,   64410,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,   10080,,    5230,,    4845,,  122870,,   61300,,   61570,
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   47950,,   58793,,   36257,,   48514,,   58967,,   38106,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,   10080,,    5230,,    4850,,  122885,,   61305,,   61575,
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   40630,,   48725,,   31901,,   41056,,   48914,,   33234,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,    9345,,    5050,,    4295,,  113355,,   58275,,   55080,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   46983,,   57549,,   34554,,   47183,,   57703,,   36054,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,    6235,,    2575,,    3660,,   77800,,   32180,,   45620,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    7073,,    6490,,    7483,,    7873,,    7836,,    7898,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,    8530,,    4705,,    3825,,   96425,,   50805,,   45620,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   44787,,   54343,,   33024,,   44356,,   53197,,   34510,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,   10710,,    5600,,    5105,,  128390,,   63980,,   64410,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24,    4040,,    2480,,    1565,,   44455,,   26640,,   17815,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   46628,,   52881,,   41868,,   53193,,   58887,,   45508,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   57387,,   64197,,   46582,,   61021,,   67383,,   51509,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     90.6,,     94.2,,     84.1,,     89.7,,     93.1,,     84.4,
"Income of individuals in 2015","    Employment income (%)",29,     79.3,,     82.9,,     73.0,,     72.4,,     75.4,,     67.7,
"Income of individuals in 2015","  Government transfers (%)",30,      9.4,,      5.7,,     16.0,,     10.3,,      6.9,,     15.6,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,   10710,,    5605,,    5105,,  128390,,   63980,,   64410,
"Income of individuals in 2015","  Without total income",,     640,,     320,,     315,,    5695,,    2745,,    2945,
"Income of individuals in 2015","  With total income",,   10070,,    5280,,    4790,,  122695,,   61235,,   61465,
"Income of individuals in 2015","  Percentage with total income",,     94.0,,     94.2,,     93.8,,     95.6,,     95.7,,     95.4,
"Income of individuals in 2015","    Under $10;000 (including loss)",,    1085,,     380,,     705,,   14675,,    5320,,    9355,
"Income of individuals in 2015","    $10;000 to $19;999",,    1155,,     435,,     715,,   18165,,    6720,,   11440,
"Income of individuals in 2015","    $20;000 to $29;999",,    1275,,     490,,     790,,   17960,,    7255,,   10705,
"Income of individuals in 2015","    $30;000 to $39;999",,    1295,,     540,,     760,,   14435,,    6485,,    7950,
"Income of individuals in 2015","    $40;000 to $49;999",,    1895,,    1075,,     825,,   13995,,    7245,,    6755,
"Income of individuals in 2015","    $50;000 to $59;999",,     880,,     520,,     360,,   10760,,    6065,,    4695,
"Income of individuals in 2015","    $60;000 to $69;999",,     640,,     420,,     220,,    8205,,    5245,,    2965,
"Income of individuals in 2015","    $70;000 to $79;999",,     420,,     305,,     115,,    6015,,    4025,,    1990,
"Income of individuals in 2015","    $80;000 to $89;999",,     360,,     270,,      90,,    4430,,    2940,,    1495,
"Income of individuals in 2015","    $90;000 to $99;999",,     280,,     200,,      85,,    3725,,    2390,,    1340,
"Income of individuals in 2015","    $100;000 and over",,     785,,     650,,     135,,   10325,,    7550,,    2775,
"Income of individuals in 2015","      $100;000 to $149;999",,     585,,     480,,     105,,    7355,,    5190,,    2160,
"Income of individuals in 2015","      $150;000 and over",,     205,,     175,,      30,,    2975,,    2355,,     615,
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,   10710,,    5600,,    5105,,  128390,,   63975,,   64410,
"Income of individuals in 2015","  Without after-tax income",,     635,,     320,,     315,,    5675,,    2745,,    2925,
"Income of individuals in 2015","  With after-tax income",,   10075,,    5280,,    4790,,  122715,,   61235,,   61480,
"Income of individuals in 2015","  Percentage with after-tax income",,     94.1,,     94.3,,     93.8,,     95.6,,     95.7,,     95.5,
"Income of individuals in 2015","    Under $10;000 (including loss)",,    1110,,     385,,     725,,   15080,,    5440,,    9640,
"Income of individuals in 2015","    $10;000 to $19;999",,    1220,,     460,,     755,,   18925,,    7060,,   11865,
"Income of individuals in 2015","    $20;000 to $29;999",,    1515,,     585,,     940,,   20560,,    8390,,   12170,
"Income of individuals in 2015","    $30;000 to $39;999",,    2065,,    1045,,    1020,,   18225,,    8745,,    9485,
"Income of individuals in 2015","    $40;000 to $49;999",,    1565,,     905,,     655,,   15590,,    8635,,    6950,
"Income of individuals in 2015","    $50;000 to $59;999",,     860,,     580,,     285,,   10945,,    6880,,    4070,
"Income of individuals in 2015","    $60;000 to $69;999",,     545,,     395,,     150,,    7285,,    4830,,    2450,
"Income of individuals in 2015","    $70;000 to $79;999",,     385,,     285,,     105,,    5265,,    3475,,    1785,
"Income of individuals in 2015","    $80;000 and over",,     800,,     645,,     155,,   10845,,    7775,,    3070,
"Income of individuals in 2015","      $80;000 to $89;999",,     250,,     190,,      60,,    3670,,    2365,,    1305,
"Income of individuals in 2015","      $90;000 to $99;999",,     195,,     155,,      40,,    2235,,    1620,,     615,
"Income of individuals in 2015","      $100;000 and over",,     350,,     300,,      55,,    4940,,    3795,,    1145,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,   10705,,    5605,,    5105,,  128390,,   63980,,   64410,
"Income of individuals in 2015","  Without employment income",,    2180,,     895,,    1285,,   31965,,   13095,,   18865,
"Income of individuals in 2015","  With employment income",,    8530,,    4710,,    3820,,   96425,,   50880,,   45540,
"Income of individuals in 2015","  Percentage with employment income",,     79.7,,     84.0,,     74.8,,     75.1,,     79.5,,     70.7,
"Income of individuals in 2015","    Under $5;000 (including loss)",,     775,,     310,,     465,,   11310,,    4860,,    6450,
"Income of individuals in 2015","    $5;000 to $9;999",,     505,,     205,,     300,,    7255,,    2970,,    4275,
"Income of individuals in 2015","    $10;000 to $19;999",,     920,,     375,,     545,,   12450,,    5270,,    7180,
"Income of individuals in 2015","    $20;000 to $29;999",,     995,,     390,,     610,,   10825,,    4525,,    6300,
"Income of individuals in 2015","    $30;000 to $39;999",,     965,,     430,,     530,,   10440,,    4845,,    5595,
"Income of individuals in 2015","    $40;000 to $49;999",,    1680,,    1000,,     680,,   10525,,    5660,,    4860,
"Income of individuals in 2015","    $50;000 to $59;999",,     655,,     425,,     230,,    8245,,    4885,,    3365,
"Income of individuals in 2015","    $60;000 to $69;999",,     505,,     350,,     150,,    6370,,    4215,,    2155,
"Income of individuals in 2015","    $70;000 to $79;999",,     345,,     270,,      70,,    4615,,    3250,,    1365,
"Income of individuals in 2015","    $80;000 and over",,    1185,,     950,,     235,,   14390,,   10400,,    3985,
"Income of individuals in 2015","      $80;000 to $89;999",,     305,,     230,,      70,,    3575,,    2440,,    1135,
"Income of individuals in 2015","      $90;000 to $99;999",,     255,,     175,,      80,,    3130,,    2010,,    1125,
"Income of individuals in 2015","      $100;000 and over",,     630,,     545,,      85,,    7680,,    5950,,    1735,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,    5045,,,...,,...,   62825,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   83866,,,...,,...,   76397,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   73198,,,...,,...,   67486,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",,    1100,,,...,,...,   15395,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   43776,,,...,,...,   37490,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   38583,,,...,,...,   33958,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,    3950,,,...,,...,   47425,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,   93504,,,...,,...,   91108,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   81584,,,...,,...,   79982,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 25% sample data",35,    5045,,,...,,...,   62820,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,   95761,,,...,,...,   94884,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,   81142,,,...,,...,   80307,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",,    1095,,,...,,...,   15355,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   52227,,,...,,...,   48241,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   43863,,,...,,...,   41159,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,    3950,,,...,,...,   47470,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,  107821,,,...,,...,  109973,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,   91470,,,...,,...,   92971,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36,    5045,,,...,,...,   62825,,,...,,...
"Income of households in 2015","  Under $5;000",,      30,,,...,,...,     770,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,      45,,,...,,...,     560,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,      65,,,...,,...,     850,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,     120,,,...,,...,    1680,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,     165,,,...,,...,    2825,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,     125,,,...,,...,    2020,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,     140,,,...,,...,    2230,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,     170,,,...,,...,    2650,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,     215,,,...,,...,    2570,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,     220,,,...,,...,    2545,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,     350,,,...,,...,    5005,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,     335,,,...,,...,    4775,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,     370,,,...,,...,    4530,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,     465,,,...,,...,    4230,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,     355,,,...,,...,    3700,,,...,,...
"Income of households in 2015","  $100;000 and over",,    1885,,,...,,...,   21890,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,     675,,,...,,...,    7645,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,     470,,,...,,...,    5030,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",,     475,,,...,,...,    5340,,,...,,...
"Income of households in 2015","    $200;000 and over",,     260,,,...,,...,    3875,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32,    5045,,,...,,...,   62825,,,...,,...
"Income of households in 2015","  Under $5;000",,      30,,,...,,...,     840,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,      50,,,...,,...,     580,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,      70,,,...,,...,     860,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,     120,,,...,,...,    1745,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,     180,,,...,,...,    2990,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,     145,,,...,,...,    2330,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,     170,,,...,,...,    2650,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,     235,,,...,,...,    3110,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,     245,,,...,,...,    2985,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,     235,,,...,,...,    3105,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,     415,,,...,,...,    5970,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,     480,,,...,,...,    5620,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,     510,,,...,,...,    5280,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,     430,,,...,,...,    4565,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,     355,,,...,,...,    3920,,,...,,...
"Income of households in 2015","  $100;000 and over",,    1375,,,...,,...,   16270,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,     655,,,...,,...,    7080,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,     340,,,...,,...,    3985,,,...,,...
"Income of households in 2015","    $150;000 and over",,     375,,,...,,...,    5205,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37,    3685,,,...,,...,   44740,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,   89557,,,...,,...,   90380,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   78731,,,...,,...,   79283,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      3.2,,,...,,...,      3.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",,    1180,,,...,,...,   18265,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   87595,,,...,,...,   83599,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   76393,,,...,,...,   73443,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",,    1770,,,...,,...,   19555,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,  105792,,,...,,...,  109477,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,   91051,,,...,,...,   94851,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      4.2,,,...,,...,      4.2,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",,     610,,,...,,...,    5640,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   47488,,,...,,...,   54256,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   44736,,,...,,...,   50404,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.8,,,...,,...,      2.7,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38,    3685,,,...,,...,   44700,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,  103319,,,...,,...,  109697,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,   87435,,,...,,...,   92537,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",,    1175,,,...,,...,   18280,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,  107426,,,...,,...,  105605,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   89104,,,...,,...,   88113,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,    1745,,,...,,...,   19530,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,  118337,,,...,,...,  127355,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,  100017,,,...,,...,  107437,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,     635,,,...,,...,    5685,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   54936,,,...,,...,   66145,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   49740,,,...,,...,   58394,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21,    2185,,    1425,,     760,,   24300,,   12720,,   11585,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   41612,,   43362,,   35285,,   33704,,   37799,,   30097,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   37086,,   38864,,   32592,,   30988,,   33855,,   28160,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40,    2155,,    1420,,     730,,   24285,,   12835,,   11450,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   47550,,   49208,,   44319,,   43525,,   47404,,   39178,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   40483,,   41446,,   38607,,   37404,,   40113,,   34367,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42,   13995,,    7295,,    6700,,  162380,,   81430,,   80950,
"Income of economic families in 2015","  In the bottom half of the distribution",,    7275,,    3755,,    3525,,   81240,,   39645,,   41595,
"Income of economic families in 2015","    In the bottom decile",,     990,,     500,,     495,,   12595,,    6075,,    6525,
"Income of economic families in 2015","    In the second decile",,    1270,,     590,,     690,,   16225,,    7530,,    8695,
"Income of economic families in 2015","    In the third decile",,    1475,,     760,,     710,,   17665,,    8570,,    9095,
"Income of economic families in 2015","    In the fourth decile",,    1640,,     855,,     785,,   17230,,    8625,,    8605,
"Income of economic families in 2015","    In the fifth decile",,    1900,,    1050,,     845,,   17515,,    8845,,    8665,
"Income of economic families in 2015","  In the top half of the distribution",,    6720,,    3545,,    3180,,   81145,,   41780,,   39360,
"Income of economic families in 2015","    In the sixth decile",,    1640,,     845,,     790,,   16990,,    8635,,    8355,
"Income of economic families in 2015","    In the seventh decile",,    1655,,     860,,     795,,   16315,,    8400,,    7915,
"Income of economic families in 2015","    In the eighth decile",,    1305,,     690,,     615,,   16150,,    8245,,    7905,
"Income of economic families in 2015","    In the ninth decile",,    1220,,     655,,     565,,   16215,,    8445,,    7770,
"Income of economic families in 2015","    In the top decile",,     900,,     490,,     410,,   15475,,    8060,,    7415,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43,   13995,,    7295,,    6700,,  162385,,   81430,,   80955,
"Low income in 2015","  0 to 17 years",,    3915,,    2015,,    1900,,   40270,,   20610,,   19660,
"Low income in 2015","    0 to 5 years",,    1370,,     735,,     635,,   13895,,    7125,,    6775,
"Low income in 2015","  18 to 64 years",,    8930,,    4740,,    4195,,  100150,,   50370,,   49780,
